model_short,model_full,asset,stride_letter,stride_label,scenario,scenario_id
Sonnet,Claude Sonnet 5 Medium,"OBU (On-Board Unit, PC5 + Uu modem)",S,Spoofing,Attacker spoofs a legitimate RSU/vehicle identity over PC5 to inject false DENM messages directly to the OBU.,
Sonnet,Claude Sonnet 5 Medium,"OBU (On-Board Unit, PC5 + Uu modem)",T,Tampering,Firmware tampering or malware installed on the OBU to alter received message handling or relay falsified data.,
Sonnet,Claude Sonnet 5 Medium,"OBU (On-Board Unit, PC5 + Uu modem)",D,Denial of Service,"Jamming of PC5/Uu radio interfaces or message flooding overwhelms OBU processing, dropping legitimate alerts.",
Sonnet,Claude Sonnet 5 Medium,"OBU (On-Board Unit, PC5 + Uu modem)",I,Information Disclosure,Eavesdropping on Uu cellular link exposes vehicle location and event report data.,
Sonnet,Claude Sonnet 5 Medium,"Vehicle Computer (Verify, warning logic)",T,Tampering,"Bypass or disabling of DENM signature verification logic, allowing unauthenticated messages to trigger driver warnings.",
Sonnet,Claude Sonnet 5 Medium,"Vehicle Computer (Verify, warning logic)",D,Denial of Service,"Flooding with valid-looking DENM messages causes alert fatigue or processing overload, suppressing real warnings.",
Sonnet,Claude Sonnet 5 Medium,"Vehicle Computer (Verify, warning logic)",E,Elevation of Privilege,Exploit in warning-logic software grants attacker control over in-vehicle systems beyond the HMI (lateral movement).,
Sonnet,Claude Sonnet 5 Medium,"Vehicle Computer (Verify, warning logic)",R,Repudiation,"No secure logging of received/verified messages, preventing forensic reconstruction of a false-alarm or missed-alarm incident.",
Sonnet,Claude Sonnet 5 Medium,Driver HMI (Visual + audio alert),T,Tampering,Manipulation of alert content/timing to desensitize driver (suppressed alert) or cause distraction (false repeated alerts).,
Sonnet,Claude Sonnet 5 Medium,Driver HMI (Visual + audio alert),D,Denial of Service,Overloading the HMI with spurious alerts to mask a genuine hazard warning.,
Sonnet,Claude Sonnet 5 Medium,PC5 Sidelink / 5G Uu Communication Channels,S,Spoofing,GNSS/location spoofing combined with message replay to simulate a hazard at a false location.,
Sonnet,Claude Sonnet 5 Medium,PC5 Sidelink / 5G Uu Communication Channels,T,Tampering,Message replay attack retransmitting old valid DENM messages to trigger outdated or irrelevant warnings.,
Sonnet,Claude Sonnet 5 Medium,PC5 Sidelink / 5G Uu Communication Channels,D,Denial of Service,RF jamming or protocol-level flooding disrupts V2X communication between RSU and OBU.,
Sonnet,Claude Sonnet 5 Medium,PC5 Sidelink / 5G Uu Communication Channels,I,Information Disclosure,Passive sniffing of unencrypted sidelink traffic reveals vehicle movement patterns (privacy/tracking risk).,
Sonnet,Claude Sonnet 5 Medium,Certificates & Event Reports (0. Certificate/report channel),S,Spoofing,Forged or stolen certificate used to authenticate a malicious RSU/OBU to the Central ITS-S.,
Sonnet,Claude Sonnet 5 Medium,Certificates & Event Reports (0. Certificate/report channel),T,Tampering,Event reports altered in transit to hide malicious activity or misreport hazard statistics to the operator.,
Sonnet,Claude Sonnet 5 Medium,Certificates & Event Reports (0. Certificate/report channel),R,Repudiation,Weak non-repudiation controls allow an entity to deny having sent a fraudulent or malformed event report.,
Opus,Claude Claude-Opus-5\_with-context,"Cameras, mono + stereo (Step 1)",S,Spoofing,"An attacker stages a fake scene in the camera view (e.g., a mannequin on the carriageway, a printed image of an overturned vehicle, or a display placed in front of the lens), so the system reports a non-existent accident and a false DENM is broadcast.",TS01
Opus,Claude Claude-Opus-5\_with-context,"Cameras, mono + stereo (Step 1)",T,Tampering,"An attacker with physical access to the pole re-aims or moves the camera, so the stored camera position no longer matches the scene and every reported event location is wrong.",TS02
Opus,Claude Claude-Opus-5\_with-context,"Cameras, mono + stereo (Step 1)",I,Information disclosure,"Unauthorized access to the camera or its management interface exposes live images of road users, including faces and licence plates (personal data under GDPR).",TS03
Opus,Claude Claude-Opus-5\_with-context,"Cameras, mono + stereo (Step 1)",D,Denial of service,"The camera is blinded (laser or strong light), covered, painted over or disconnected from power, so real accidents in its field of view are not detected and no warning is issued.",TS04
Opus,Claude Claude-Opus-5\_with-context,"Cameras, mono + stereo (Step 1)",E,Elevation of privilege,"Default credentials or vulnerable firmware on the IP infrastructure camera are exploited to gain a foothold on the roadside network, from which the computing unit and the RSU can be attacked.",TS05
Opus,Claude Claude-Opus-5\_with-context,Video link camera -> roadside computing unit (Step 1 -> 2),T,Tampering,"A man-in-the-middle on the camera link replaces the live stream with recorded footage: an old accident video to trigger false warnings, or an empty road to hide a real accident.",TS06
Opus,Claude Claude-Opus-5\_with-context,Video link camera -> roadside computing unit (Step 1 -> 2),I,Information disclosure,"The video stream is sent without encryption on the roadside network and is captured by an attacker, disclosing images of road users.",TS07
Opus,Claude Claude-Opus-5\_with-context,Video link camera -> roadside computing unit (Step 1 -> 2),D,Denial of service,"The camera link is cut or flooded with traffic, so no frames reach the detector.",TS08
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",T,Tampering,"An attacker with access to the roadside cabinet or to an exposed remote service (e.g., SSH) replaces software, container images or configuration on the unit, altering the detector, the prompts or the DENM encoder.",TS09
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",T,Tampering,"A malicious or unsigned software update (operating system, Python packages, agent framework components) is installed on the unit, introducing hidden logic that manipulates detections or messages.",TS10
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",R,Repudiation,"Changes to software, prompts or configuration on the unit are not recorded in tamper-evident logs, so a manipulation cannot be traced to an actor or a point in time.",TS11
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",I,Information disclosure,"Secrets stored on the unit (Gemini API key, network credentials, camera position data) are extracted after physical theft of the unit or a remote compromise.",TS12
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",D,Denial of service,"Malware or crafted inputs exhaust the CPU, GPU or memory of the unit, stopping real-time processing of frames.",TS13
Opus,Claude Claude-Opus-5\_with-context,"Roadside computing unit, NVIDIA Jetson Orin (hosts Steps 2-8)",E,Elevation of privilege,"A vulnerability in the operating system or in an agent framework dependency is exploited to obtain root access, giving the attacker full control over detection and message generation.",TS14
Opus,Claude Claude-Opus-5\_with-context,YOLOv5 edge detector and trigger rule (Step 2),S,Spoofing,"Adversarial patches (printed patterns on vehicles, signs or clothing) make YOLOv5 report stopped vehicles or pedestrians that do not exist, sending fabricated candidate events to the MLLM agents.",TS15
Opus,Claude Claude-Opus-5\_with-context,YOLOv5 edge detector and trigger rule (Step 2),T,Tampering,"The YOLOv5 weights or the trigger rule are replaced or poisoned so that selected event types (e.g., overturned vehicles) are never forwarded, silently suppressing warnings.",TS16
Opus,Claude Claude-Opus-5\_with-context,YOLOv5 edge detector and trigger rule (Step 2),D,Denial of service,"Adversarial patterns hide real objects from the detector (evasion), so frames containing a real accident are filtered out before they reach the agents.",TS17
Opus,Claude Claude-Opus-5\_with-context,YOLOv5 edge detector and trigger rule (Step 2),D,Denial of service,"An attacker repeatedly creates trigger conditions (e.g., objects placed on the road edge) to flood the agents with MLLM requests, exhausting the API quota or budget and delaying genuine events.",TS18
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),S,Spoofing,"Text visible in the camera image (on a sign, sticker or vehicle wrap) acts as a prompt injection that instructs the MLLM to report an incident, producing a spoofed hazard.",TS19
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),T,Tampering,"Prompt 1 stored on the computing unit is modified so that the agent applies different detection criteria (e.g., always returning no incident).",TS20
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),T,Tampering,"A prompt injection in the image makes the MLLM return a manipulated bounding box or situation type, shifting the reported hazard position or changing its classification.",TS21
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),R,Repudiation,"The prompt, model version, input frame and response behind each detection decision are not logged, so a false or missed detection cannot be attributed to the model, the input or an attacker.",TS22
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),D,Denial of service,"Crafted images or injected text cause malformed (non-JSON) output, refusals or excessive response times, stalling the pipeline for real events.",TS23
Opus,Claude Claude-Opus-5\_with-context,Situation detection agent and prompt 1 (Steps 3-4),E,Elevation of privilege,"Injected instructions make the agent framework perform actions beyond its role (e.g., invoking the message generation agent without a confirmed hazard, or calling other tools configured in the framework).",TS24
Opus,Claude Claude-Opus-5\_with-context,"Cloud MLLM, Gemini API (Steps 4 and 7)",S,Spoofing,A spoofed API endpoint (via DNS manipulation on the roadside network or a compromised proxy) answers in place of the Gemini API with forged detection results and DENM parameters.,TS25
Opus,Claude Claude-Opus-5\_with-context,"Cloud MLLM, Gemini API (Steps 4 and 7)",T,Tampering,"A compromise or malicious insider at the provider, or an unannounced model update, changes the model's behaviour and alters detection results and DENM field values without the operator's knowledge.",TS26
Opus,Claude Claude-Opus-5\_with-context,"Cloud MLLM, Gemini API (Steps 4 and 7)",R,Repudiation,"Processing at the provider cannot be audited by the operator, so it cannot be shown whether an incorrect output originated in the model or in manipulated input.",TS27
Opus,Claude Claude-Opus-5\_with-context,"Cloud MLLM, Gemini API (Steps 4 and 7)",I,Information disclosure,"Frames sent to the third-party cloud, containing faces, licence plates and the camera location, are retained, logged or reused by the provider, disclosing personal data outside the operator's control.",TS28
Opus,Claude Claude-Opus-5\_with-context,"Cloud MLLM, Gemini API (Steps 4 and 7)",D,Denial of service,"Provider outage, rate limiting, quota exhaustion or account suspension stops Steps 4 and 7, so no DENM can be generated.",TS29
Opus,Claude Claude-Opus-5\_with-context,Gemini API key and cloud account,S,Spoofing,"A stolen API key lets an attacker impersonate the system towards the provider, consuming quota and incurring costs until the legitimate requests are rate-limited.",TS30
Opus,Claude Claude-Opus-5\_with-context,Gemini API key and cloud account,I,Information disclosure,"The key leaks through source code repositories, configuration backups, logs or monitoring traces.",TS31
Opus,Claude Claude-Opus-5\_with-context,Gemini API key and cloud account,D,Denial of service,Revocation of a leaked key or suspension of the cloud account interrupts the service until new credentials are deployed.,TS32
Opus,Claude Claude-Opus-5\_with-context,Gemini API key and cloud account,E,Elevation of privilege,"If the key belongs to a cloud project with broader permissions, its compromise gives access to other cloud resources of the operator.",TS33
Opus,Claude Claude-Opus-5\_with-context,Link roadside computing unit <-> Gemini API over 5G Uu (Steps 3-4 and 6-7),T,Tampering,"A man-in-the-middle (rogue base station, compromised gateway, or a client that does not validate TLS certificates) modifies requests or responses, e.g., changing the incident flag or the cause code.",TS34
Opus,Claude Claude-Opus-5\_with-context,Link roadside computing unit <-> Gemini API over 5G Uu (Steps 3-4 and 6-7),I,Information disclosure,Missing or weak TLS exposes the images and prompts in transit.,TS35
Opus,Claude Claude-Opus-5\_with-context,Link roadside computing unit <-> Gemini API over 5G Uu (Steps 3-4 and 6-7),D,Denial of service,"Cellular jamming, a forced downgrade by a rogue base station, or blocking of the SIM subscription cuts the connection to the MLLM.",TS36
Opus,Claude Claude-Opus-5\_with-context,Distance estimate agent (Depth Pro) and stored camera position data (Step 5),T,Tampering,"Adversarial or deliberately unusual scene content (e.g., reflective surfaces or projected patterns) makes Depth Pro produce a wrong distance, placing the hazard at the wrong position in the DENM.",TS37
Opus,Claude Claude-Opus-5\_with-context,Distance estimate agent (Depth Pro) and stored camera position data (Step 5),T,Tampering,"The stored camera position and orientation parameters are altered, shifting every computed event location so that warnings refer to the wrong road section.",TS38
Opus,Claude Claude-Opus-5\_with-context,Distance estimate agent (Depth Pro) and stored camera position data (Step 5),T,Tampering,The Depth Pro model file is replaced with a manipulated version that returns systematically biased distances.,TS39
Opus,Claude Claude-Opus-5\_with-context,Distance estimate agent (Depth Pro) and stored camera position data (Step 5),D,Denial of service,Inputs that make the depth model fail or run slowly delay or block message generation.,TS40
Opus,Claude Claude-Opus-5\_with-context,Message generation agent and prompt 2 (Steps 6-7),T,Tampering,"A prompt injection through scene text or manipulated inputs makes the MLLM return wrong DENM fields (e.g., wrong cause code, open lanes reported as closed, a lower speed limit), so drivers receive misleading instructions.",TS41
Opus,Claude Claude-Opus-5\_with-context,Message generation agent and prompt 2 (Steps 6-7),T,Tampering,"Prompt 2 or the list of allowed field values is modified on the computing unit, producing systematically wrong or attacker-chosen message content.",TS42
Opus,Claude Claude-Opus-5\_with-context,Message generation agent and prompt 2 (Steps 6-7),S,Spoofing,An attacker who controls the MLLM response (see TS25 and TS34) sets the event position fields so that the DENM describes a hazard at a location the camera does not cover.,TS43
Opus,Claude Claude-Opus-5\_with-context,Message generation agent and prompt 2 (Steps 6-7),R,Repudiation,"Generated DENMs are not linked to their input frame, prompt, model version and model response, preventing post-incident investigation of a harmful message.",TS44
Opus,Claude Claude-Opus-5\_with-context,Message generation agent and prompt 2 (Steps 6-7),D,Denial of service,Prompt-induced oversized or malformed model output exceeds processing limits and blocks message generation.,TS45
Opus,Claude Claude-Opus-5\_with-context,"DENM encoder and DENM payload, ASN.1 UPER (Step 8)",T,Tampering,"Model output that bypasses schema and plausibility validation yields a DENM with out-of-range or inconsistent fields, which receiving V2X stacks may misinterpret or crash on.",TS46
Opus,Claude Claude-Opus-5\_with-context,"DENM encoder and DENM payload, ASN.1 UPER (Step 8)",T,Tampering,The encoder code or its ASN.1 definitions are modified to produce syntactically valid but semantically altered messages.,TS47
Opus,Claude Claude-Opus-5\_with-context,"DENM encoder and DENM payload, ASN.1 UPER (Step 8)",D,Denial of service,"Crafted field values trigger encoding errors or exceptions, stopping DENM generation.",TS48
Opus,Claude Claude-Opus-5\_with-context,"Link roadside computing unit -> RSU, Ethernet/UDP (Step 8 -> 9)",S,Spoofing,A device on the roadside network (including a compromised camera) sends forged UDP packets to the RSU input port; the RSU signs and broadcasts them as legitimate DENMs.,TS49
Opus,Claude Claude-Opus-5\_with-context,"Link roadside computing unit -> RSU, Ethernet/UDP (Step 8 -> 9)",T,Tampering,"An attacker on the local network (e.g., by ARP spoofing) modifies the DENM payload before it reaches the RSU and is signed.",TS50
Opus,Claude Claude-Opus-5\_with-context,"Link roadside computing unit -> RSU, Ethernet/UDP (Step 8 -> 9)",I,Information disclosure,"Unencrypted UDP traffic is captured, revealing message content and the internal addressing of the roadside station.",TS51
Opus,Claude Claude-Opus-5\_with-context,"Link roadside computing unit -> RSU, Ethernet/UDP (Step 8 -> 9)",D,Denial of service,Flooding the RSU input port or the roadside switch prevents payloads from reaching the RSU.,TS52
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),S,Spoofing,A rogue roadside device broadcasts DENMs claiming to be the RSU; the forgery succeeds if valid credentials were stolen or if receivers do not verify signatures.,TS53
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),T,Tampering,"The RSU firmware or configuration is modified through its management interface (e.g., default or weak credentials), changing its signing or forwarding behaviour.",TS54
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),R,Repudiation,"The RSU signs every payload received on its UDP input without authenticating or logging its origin, so it cannot be established which component produced a harmful message.",TS55
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),I,Information disclosure,"Because of misconfiguration, signing keys are generated or stored outside the hardware security module, allowing their extraction.",TS56
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),D,Denial of service,"Network flooding, a firmware crash, power loss or physical destruction of the pole-mounted RSU stops all broadcasts.",TS57
Opus,Claude Claude-Opus-5\_with-context,RSU with hardware security module and signing keys (Step 9),E,Elevation of privilege,"Exploiting a vulnerability in the RSU management services gives root access, letting the attacker use the hardware security module as a signing oracle for arbitrary messages.",TS58
Opus,Claude Claude-Opus-5\_with-context,PC5 sidelink RSU -> OBU (Step 9 -> 11),S,Spoofing,An attacker with a C-V2X radio transmits forged DENMs on PC5; they are accepted if OBUs do not verify signatures or if the attacker holds valid credentials.,TS59
Opus,Claude Claude-Opus-5\_with-context,PC5 sidelink RSU -> OBU (Step 9 -> 11),S,Spoofing,Valid signed DENMs are recorded and replayed at another time or place; they are accepted if freshness and location checks are missing.,TS60
Opus,Claude Claude-Opus-5\_with-context,PC5 sidelink RSU -> OBU (Step 9 -> 11),T,Tampering,"Signal overshadowing: the attacker transmits a stronger, modified copy of a legitimate message so that nearby OBUs receive the altered version.",TS61
Opus,Claude Claude-Opus-5\_with-context,PC5 sidelink RSU -> OBU (Step 9 -> 11),D,Denial of service,"Jamming the 5.9 GHz channel, or flooding it with valid-format messages to congest it, prevents OBUs from receiving warnings.",TS62
Opus,Claude Claude-Opus-5\_with-context,Security credentials and PKI enrolment (Step 0),S,Spoofing,Stolen enrolment credentials or authorization tickets let an attacker obtain or use valid certificates and sign forged DENMs that receivers accept.,TS63
Opus,Claude Claude-Opus-5\_with-context,Security credentials and PKI enrolment (Step 0),T,Tampering,The trust store (root certificates or trust list) on the RSU or OBU is modified so that it trusts an attacker-controlled certificate authority.,TS64
Opus,Claude Claude-Opus-5\_with-context,Security credentials and PKI enrolment (Step 0),R,Repudiation,"Certificates are not traceable to an accountable station in the PKI, so a misbehaving station cannot be identified and revoked.",TS65
Opus,Claude Claude-Opus-5\_with-context,Security credentials and PKI enrolment (Step 0),D,Denial of service,"Expired certificates, or a PKI that is unreachable during renewal, cause the RSU's messages to be rejected by OBUs, silencing warnings.",TS66
Opus,Claude Claude-Opus-5\_with-context,Security credentials and PKI enrolment (Step 0),E,Elevation of privilege,"Compromise of the authorization authority allows certificates with broader permissions to be issued (e.g., for any DENM cause code), which receivers then trust.",TS67
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",S,Spoofing,"An attacker impersonates an RSU towards the central ITS-S and injects fake event reports, which are redistributed over V2N to many vehicles.",TS68
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",S,Spoofing,"Phishing or credential theft gives an attacker access to an operator account, from which warnings can be published or cancelled.",TS69
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",T,Tampering,"A compromised operator account or back-end component modifies or cancels real events, suppressing warnings for vehicles outside RSU range.",TS70
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",R,Repudiation,Missing audit logs allow an operator to deny having published or cancelled a warning.,TS71
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",I,Information disclosure,Event logs and camera snapshots stored at the back-end disclose personal data and details of the roadside infrastructure.,TS72
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",D,Denial of service,A DDoS attack on the back-end prevents V2N redistribution and certificate renewal.,TS73
Opus,Claude Claude-Opus-5\_with-context,"Central ITS-S, operator back-end (Step 10)",E,Elevation of privilege,"A vulnerability in the back-end grants administrative control over all connected RSUs (remote configuration and firmware updates), enabling a fleet-wide compromise.",TS74
Opus,Claude Claude-Opus-5\_with-context,Link RSU <-> central ITS-S over 5G Uu (Step 0 and Step 9 -> 10),T,Tampering,A man-in-the-middle modifies event reports or certificate responses in transit.,TS75
Opus,Claude Claude-Opus-5\_with-context,Link RSU <-> central ITS-S over 5G Uu (Step 0 and Step 9 -> 10),I,Information disclosure,Interception of unprotected management traffic exposes credentials and configuration of the RSU.,TS76
Opus,Claude Claude-Opus-5\_with-context,Link RSU <-> central ITS-S over 5G Uu (Step 0 and Step 9 -> 10),D,Denial of service,Cellular jamming or a network outage blocks event reports and certificate renewal.,TS77
Opus,Claude Claude-Opus-5\_with-context,V2N link central ITS-S -> OBU over 5G Uu (Step 10 -> 11),S,Spoofing,A fake V2N server or a compromised cellular path delivers forged DENMs to OBUs; they are accepted if the OBU relies on transport security instead of verifying message signatures.,TS78
Opus,Claude Claude-Opus-5\_with-context,V2N link central ITS-S -> OBU over 5G Uu (Step 10 -> 11),I,Information disclosure,Area-based subscriptions to warnings reveal vehicle locations to the back-end or to an attacker observing the traffic.,TS79
Opus,Claude Claude-Opus-5\_with-context,V2N link central ITS-S -> OBU over 5G Uu (Step 10 -> 11),D,Denial of service,Congestion or outage of the cellular network prevents warnings from reaching vehicles outside RSU range.,TS80
Opus,Claude Claude-Opus-5\_with-context,"GNSS position and time (RSU and OBU, Steps 9 and 11)",S,Spoofing,"GNSS spoofing gives the OBU a false position, so its relevance check discards genuine warnings or accepts irrelevant ones; at the RSU it corrupts the position and time used in signed messages.",TS81
Opus,Claude Claude-Opus-5\_with-context,"GNSS position and time (RSU and OBU, Steps 9 and 11)",T,Tampering,Manipulated GNSS time makes receivers reject valid messages as expired or accept replayed ones.,TS82
Opus,Claude Claude-Opus-5\_with-context,"GNSS position and time (RSU and OBU, Steps 9 and 11)",D,Denial of service,GNSS jamming disrupts the time synchronization needed by LTE-V2X PC5 and the position-based relevance filtering.,TS83
Opus,Claude Claude-Opus-5\_with-context,OBU (Step 11),T,Tampering,"Firmware tampering through physical access in the vehicle (e.g., debug ports) disables signature verification, so forged DENMs are accepted.",TS84
Opus,Claude Claude-Opus-5\_with-context,OBU (Step 11),I,Information disclosure,Credentials are extracted from the OBU and used to sign forged messages elsewhere.,TS85
Opus,Claude Claude-Opus-5\_with-context,OBU (Step 11),D,Denial of service,"Malformed DENMs (fuzzing) crash the OBU's V2X stack, stopping reception.",TS86
Opus,Claude Claude-Opus-5\_with-context,OBU (Step 11),E,Elevation of privilege,"A vulnerability in the OBU's cellular (Uu) interface or management service is exploited remotely, giving code execution inside the vehicle.",TS87
Opus,Claude Claude-Opus-5\_with-context,"Link OBU -> vehicle computer, Ethernet/UDP (Step 11 -> 12)",S,Spoofing,A device connected to the in-vehicle Ethernet injects forged UDP messages that the vehicle computer treats as received DENMs.,TS88
Opus,Claude Claude-Opus-5\_with-context,"Link OBU -> vehicle computer, Ethernet/UDP (Step 11 -> 12)",T,Tampering,Forwarded messages are modified on the in-vehicle link; this goes undetected if only the OBU verifies signatures and the link itself is not protected.,TS89
Opus,Claude Claude-Opus-5\_with-context,"Link OBU -> vehicle computer, Ethernet/UDP (Step 11 -> 12)",D,Denial of service,Flooding the UDP port blocks the forwarding of warnings.,TS90
Opus,Claude Claude-Opus-5\_with-context,"Vehicle computer, warning logic (Step 12)",S,Spoofing,"The vehicle computer accepts messages without checking the verification result from the OBU, so forged warnings are processed as genuine.",TS91
Opus,Claude Claude-Opus-5\_with-context,"Vehicle computer, warning logic (Step 12)",T,Tampering,"Relevance thresholds, map data or warning logic are modified, suppressing warnings or triggering them for irrelevant events.",TS92
Opus,Claude Claude-Opus-5\_with-context,"Vehicle computer, warning logic (Step 12)",R,Repudiation,"Received and displayed warnings are not logged, so it cannot be reconstructed what the driver was told (e.g., in an accident investigation).",TS93
Opus,Claude Claude-Opus-5\_with-context,"Vehicle computer, warning logic (Step 12)",D,Denial of service,A burst of valid-format messages overloads the warning logic and delays real warnings.,TS94
Opus,Claude Claude-Opus-5\_with-context,"Vehicle computer, warning logic (Step 12)",E,Elevation of privilege,A compromised vehicle computer is used as a pivot into other in-vehicle networks it is connected to.,TS95
Opus,Claude Claude-Opus-5\_with-context,Driver HMI (Step 13),T,Tampering,"Manipulated warning content (wrong hazard type, distance or lane) is displayed, prompting dangerous driver reactions such as sudden braking or lane changes.",TS96
Opus,Claude Claude-Opus-5\_with-context,Driver HMI (Step 13),D,Denial of service,"A flood of false alerts distracts the driver and causes alert fatigue, so genuine warnings are ignored.",TS97
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),S,Spoofing,Attacker injects fake camera streams or replays previously recorded accident footage to impersonate a live road scene.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),T,Tampering,Camera firmware or image data is modified to hide accidents or create false hazards.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),R,Repudiation,No audit trail exists to prove whether captured footage originated from the genuine camera.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),I,Information Disclosure,Unauthorized access to video streams exposes vehicle and road-user information.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),D,Denial of Service,"Camera is disabled through jamming, overload, or physical sabotage, preventing accident detection.",
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",1. Cameras (Mono + Stereo),E,Elevation of Privilege,Exploitation of camera firmware vulnerabilities grants administrative access to the roadside network.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),S,Spoofing,Malicious device impersonates a trusted camera and sends manipulated object-detection input.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),T,Tampering,YOLOv5 model weights are altered to misclassify accidents or hazards.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),R,Repudiation,Absence of model execution logs prevents attribution of incorrect detections.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),I,Information Disclosure,Sensitive image frames or detection metadata are leaked from edge storage.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),D,Denial of Service,Adversarial images or excessive traffic exhaust GPU/CPU resources and block real-time processing.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",2. Edge Detector (YOLOv5 Fast Path),E,Elevation of Privilege,Exploiting inference runtime vulnerabilities provides root access to the roadside computing platform.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,S,Spoofing,Unauthorized entity impersonates the MLLM service and returns fabricated hazard assessments.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,T,Tampering,Prompt injection manipulates accident interpretation and generated conclusions.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,R,Repudiation,"Agent decisions cannot be traced back to specific prompts, responses, or model versions.",
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,I,Information Disclosure,Road images and metadata are exposed to unauthorized users or cloud tenants.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,D,Denial of Service,Flooding the agent with requests prevents processing of legitimate hazards.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",3. Situation Detection Agent,E,Elevation of Privilege,Compromised agent gains unauthorized access to downstream systems and APIs.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",4 & 7. Cloud MLLM (Gemini API),S,Spoofing,Attackers steal API credentials and impersonate the roadside station.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",4 & 7. Cloud MLLM (Gemini API),T,Tampering,Model outputs are manipulated through prompt injection or API traffic modification.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",4 & 7. Cloud MLLM (Gemini API),R,Repudiation,Lack of signed request-response logs prevents proving which recommendations were generated.,
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",4 & 7. Cloud MLLM (Gemini API),I,Information Disclosure,"Sensitive road imagery, accident information, or prompts are disclosed to unauthorized parties.",
Copilot,"Copilot last version released between August 11, 2026, and August 25, 2026\. free version",4 & 7. Cloud MLLM (Gemini API),D,Denial of Service,API quota exhaustion or network attacks prevent cloud-based inference.,
